Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
ViromevOTU210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU225,42.17452739,90.69172719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU229,0,922.7357055,4627.864204,470.2849018,0,0,0,0,0,0,0,0,113.6164715,0,0,0,0
ViromevOTU230,0,0,0,0,0,0,0,0,0,0,0,0,319.30964,0,0,0,0
ViromevOTU231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
